/c/ClippersHQ_renders/outputs_paste_20260811_121208/_work/paste_DbwHAvvyZOq__20260811T101405Z/instagram/apexsyndicate__/final/white_frame/3958694910051849130_47389926004.mp4	1430631	10.63
/c/ClippersHQ_renders/outputs_paste_20260811_121208/_work/paste_Dbx3enXIyqJ__20260811T102052Z/head.mp4	524864	6.18
/c/ClippersHQ_renders/outputs_paste_20260811_121208/_work/paste_Dbx3enXIyqJ__20260811T102052Z/instagram/wittymedia._/3959189543841901193_39871741023.mp4	524864	6.18
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DVf-UBgEu3K__20260811T103543Z/head.mp4	845578	13.65
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DVf-UBgEu3K__20260811T103543Z/instagram/theclipbuzzz/3846066661682769354_79829007746.mp4	845578	13.65
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DVf-UBgEu3K__20260811T103543Z/instagram/theclipbuzzz/final/white_frame/3846066661682769354_79829007746.mp4	1788369	13.44
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DWH-XU-gByq__20260811T104142Z/head.mp4	853829	18.62
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DWH-XU-gByq__20260811T104142Z/instagram/wasted/3857325887821192362_1415356583.mp4	853829	18.62
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DWH-XU-gByq__20260811T104142Z/instagram/wasted/final/white_frame/3857325887821192362_1415356583.mp4	2556403	18.60
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DXUJmT-jCTH__20260811T103348Z/head.mp4	403550	6.48
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DXUJmT-jCTH__20260811T103348Z/instagram/wreckedrudyy/3878767394282022087_69384001664.mp4	403550	6.48
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DY-IF_1x_jE__20260811T103900Z/head.mp4	1062118	9.78
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DY-IF_1x_jE__20260811T103900Z/instagram/gamblinginclips/3908597123121674436_62465047064.mp4	1062118	9.78
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DY-IF_1x_jE__20260811T103900Z/instagram/gamblinginclips/final/white_frame/3908597123121674436_62465047064.mp4	2331697	9.78
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZ5gIGWB-uS__20260811T104545Z/head.mp4	932204	13.84
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZ5gIGWB-uS__20260811T104545Z/instagram/wasted/3925309844286335890_1415356583.mp4	932204	13.84
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZ5gIGWB-uS__20260811T104545Z/instagram/wasted/final/white_frame/3925309844286335890_1415356583.mp4	1992161	13.83
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZSmfaTAwnb__20260811T104708Z/head.mp4	599822	7.55
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZSmfaTAwnb__20260811T104708Z/instagram/velorenth/3914360310445836763_15581656261.mp4	599822	7.55
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZdeVdFvymx__20260811T102651Z/head.mp4	1049385	11.21
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZdeVdFvymx__20260811T102651Z/instagram/transitions.community/3917420666621471153_53819312489.mp4	1049385	11.21
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZdeVdFvymx__20260811T102651Z/instagram/transitions.community/final/white_frame/3917420666621471153_53819312489.mp4	2891207	11.20
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZpC53dqwcS__20260811T104337Z/head.mp4	2283181	11.52
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZpC53dqwcS__20260811T104337Z/instagram/9to5binge/3920677723259471634_74904641891.mp4	2283181	11.52
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DZpC53dqwcS__20260811T104337Z/instagram/9to5binge/final/white_frame/3920677723259471634_74904641891.mp4	4735207	11.50
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_Db153LyMm04__20260811T103059Z/head.mp4	537858	11.42
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_Db153LyMm04__20260811T103059Z/instagram/wasted/3960325928217898296_1415356583.mp4	537858	11.42
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_Db153LyMm04__20260811T103059Z/instagram/wasted/final/white_frame/3960325928217898296_1415356583.mp4	862704	11.40
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_Db1Jihts6Au__20260811T104732Z/head.mp4	3436821	18.79
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_Db1Jihts6Au__20260811T104732Z/instagram/animeotaku_amv10k/3960113402423255086_79178646620.mp4	3436821	18.79
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DbwHAvvyZOq__20260811T102901Z/head.mp4	679483	10.63
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DbwHAvvyZOq__20260811T102901Z/instagram/apexsyndicate__/3958694910051849130_47389926004.mp4	679483	10.63
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_DbwHAvvyZOq__20260811T102901Z/instagram/apexsyndicate__/final/white_frame/3958694910051849130_47389926004.mp4	1317115	10.63
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_Dbx3enXIyqJ__20260811T104510Z/head.mp4	430475	6.18
/c/ClippersHQ_renders/outputs_paste_20260811_122622/_work/paste_Dbx3enXIyqJ__20260811T104510Z/instagram/wittymedia._/3959189543841901193_39871741023.mp4	430475	6.18
/c/ClippersHQ_renders/outputs_paste_20260811_153854/_work/paste_DVf-UBgEu3K__20260811T134106Z/head.mp4	1306176	13.65
/c/ClippersHQ_renders/outputs_paste_20260811_153854/_work/paste_DVf-UBgEu3K__20260811T134106Z/instagram/theclipbuzzz/3846066661682769354_79829007746.mp4	1306176	13.65
/c/ClippersHQ_renders/outputs_paste_20260811_153854/_work/paste_DVf-UBgEu3K__20260811T134106Z/instagram/theclipbuzzz/final/white_frame/3846066661682769354_79829007746.mp4	3608014	13.37
/c/ClippersHQ_renders/outputs_paste_20260811_153854/_work/paste_DWH-XU-gByq__20260811T134228Z/head.mp4	853829	18.62
/c/ClippersHQ_renders/outputs_paste_20260811_153854/_work/paste_DWH-XU-gByq__20260811T134228Z/instagram/wasted/3857325887821192362_1415356583.mp4	853829	18.62
/c/ClippersHQ_renders/outputs_paste_20260811_153854/_work/paste_DWH-XU-gByq__20260811T134228Z/instagram/wasted/final/white_frame/3857325887821192362_1415356583.mp4	2502094	18.60
/c/ClippersHQ_renders/outputs_paste_20260811_153854/_work/paste_DXUJmT-jCTH__20260811T134047Z/head.mp4	369752	6.48
